MeetingID|GroupName|Address|Area|State|PostCode|Day_Time|Contact|PartialMatch|FormattedAddress|Exact_Lat|Exact_Lng
"1"|"Aarilova Group."|"Z.P. High School, Thotaguruvu, Arilova Junction, Visakhapatnam,"|"Arilova"|"Andhra Pradesh"|""|"Fri 6.30 pm"|"R. Anandrao. - 090305 46692 - Syamkumar - 091213 73645"|"true"|"Arilova, Visakhapatnam, Andhra Pradesh, India"|"17.7666503"|"83.3134650"
"2"|"Vimochana Group."|"C/o, P. Haribabau., Baddumasangi, Neelanagaram Post, Srikakulam Dist,"|"Baddumasangi"|"Andhra Pradesh"|"532462"|"Sat 6.00 pm"|"P. Haribabu - 094405 71193"|"true"|"Andhra Pradesh 532462, India"|"18.6001723"|"83.6614400"
"3"|"Balijipeta Group."|"High School Ground,"|"Balijipeta"|"Andhra Pradesh"|""|"6.00 pm"|"Cont: 094940 56213"|"true"|"Balijipeta, Andhra Pradesh 535557, India"|"18.6149066"|"83.5296744"
"4"|"Bobbili Group."|"R.C.M. School, Nr Railway Station,"|"Bobbili"|"Andhra Pradesh"|""|"Daily 6.30 pm"|"Cont: 094404 36082"|"true"|"Bobbili, Andhra Pradesh, India"|"18.5735047"|"83.3583654"
"5"|"Boddam Group."|"Navodaya School, Boddam,"|"Boddam"|"Andhra Pradesh"|""|"Mon 6.00 pm"|"Cont: 093475 87479"|"true"|"Boddam, Andhra Pradesh, India"|"18.0538598"|"83.1407764"
"6"|"Sneha Group."|"UP School Campus, Budarayavalasa, Garbham P.O., Vizianagaram Dist,"|"Budarayavalasa"|"Andhra Pradesh"|""|"Daily 6.00 pm"|"G.Durgarao. - 099128 96262"|"true"|"Budarayavalasa, Andhra Pradesh 535102, India"|"18.3954824"|"83.4616876"
"7"|"Gnanodaya Group."|"C/o, Appalanaidu, Bukkru Village, Palakonda Mandal, Srikakulam Dist,"|"Bukkuru"|"Andhra Pradesh"|""|"Tue/Sat 6.00 pm"|"Appalanaidu - 097047 32891"|"true"|"Bukkuru, Andhra Pradesh 532440, India"|"18.5998963"|"83.6973280"
"8"|"Viswasneha Group."|"Fire Station Campus, Cheepurupalli, Vizianagaram Dist,"|"Cheepurupalli"|"Andhra Pradesh"|"535128"|"Tue/Wed/Fri 6.00 pm"|"M.Sankararao. - 096039 87533 - Allakhan - 096523 17522"|"true"|"Cheepurupalli, Andhra Pradesh 535128, India"|"18.3105327"|"83.5683010"
"9"|"Cherukupalli Group."|"Z.P. School,"|"Cherukupalli"|"Andhra Pradesh"|""|"Thu 6.00 pm"|"Cont: 099638 22760"|"true"|"Cherukupalli, Andhra Pradesh 522309, India"|"16.0493704"|"80.6805413"
"10"|"Sadhana Group."|"Comfort East Campus, Chittor,"|"Chittoor"|"Andhra Pradesh"|""|"Mon/Wed/Fri/Sun 7.00 pm"|"Cont: 094419 14157"|"true"|"Neva River Bridge, Kattamanchi, Chittoor, Andhra Pradesh 517001, India"|"13.2312065"|"79.1112840"
"11"|"Vimukthi Group."|"Comfort West Campus, Ganganapalli, Chittoor,"|"Chittoor"|"Andhra Pradesh"|""|"Tue/Thu/Sat 7.00.am"|"Cont: 090307 81115"|"true"|"Ganganapalli, Chittoor, Andhra Pradesh, India"|"13.2143541"|"79.0876970"
"12"|"Helapuri Group."|"A.P.S.R.T.C. Employees Union Office, Opp. Hero Honda Show Room, Near Bus Stand,"|"Eluru"|"Andhra Pradesh"|""|"Sun 9.30 am & Wed 6.00 pm"|"Cont: 093904 00052 - 096404 11607"|"true"|"Eluru, Andhra Pradesh, India"|"16.7106604"|"81.0952431"
"13"|"Krutagnatha Group."|"Near Krishna Temple, Patha Gajuwaka, Visakhapatnam,"|"Gajuwaka"|"Andhra Pradesh"|""|"Thu 6.30 pm"|"Gopalakrishna - 093469 36259 - Ellajirao - 099494 33135"|"true"|"Gajuwaka, Visakhapatnam, Andhra Pradesh, India"|"17.7000000"|"83.2167000"
